简体中文(源),参考语言(英文),资源编码
busiaccbook,busiaccbook,P_YS_CO_CO-REPORT_1549426872494850120
op,-,P_YS_CO_CO-REPORT_1549426872494850201
isbd,-,P_YS_CO_CO-REPORT_1549426872494850204
customscope,customscope,P_YS_CO_CO-REPORT_1549426872494850207
refernum,-,P_YS_CO_CO-REPORT_1549426872494850210
stage,stage,P_YS_CO_CO-REPORT_1549426941213278231
effectivedate,effectivedate,P_YS_CO_CO-REPORT_1549427611228176602
expirationdate,expirationdate,P_YS_CO_CO-REPORT_1549427611228176605
businessid,businessid,P_YS_CO_CO-REPORT_1549427611228176608
比上年%_账簿币,Compared with Last Year (%) - Accounting Book Currency,P_YS_CO_CO-REPORT_1549428650611310747
amountYear,amountYear,P_YS_CO_CO-REPORT_1549428650611310828
amountLastYear,amountLastYear,P_YS_CO_CO-REPORT_1549428650611310831
amountPreviousYear,amountPreviousYear,P_YS_CO_CO-REPORT_1549428650611310834
differenceYear,differenceYear,P_YS_CO_CO-REPORT_1549428650611310837
percentageYear,-,P_YS_CO_CO-REPORT_1549428650611310840
accbook,-,P_YS_CO_CO-REPORT_1549429380754702342
startPeriod,startPeriod,P_YS_CO_CO-REPORT_1549429380754702351
statisticalLatitude,-,P_YS_CO_CO-REPORT_1549437644272828426
currentValue,-,P_YS_CO_CO-REPORT_1549437644272828429
cumulativeValue,-,P_YS_CO_CO-REPORT_1549437644272828432
pid,-,P_YS_CO_CO-REPORT_1590983103457263630
orderRowNum,-,P_YS_CO_CO-REPORT_1590983103457263636
startperiodCode,startperiodCode,P_YS_CO_CO-REPORT_1590983103457263678
costcenter,costcenter,P_YS_CO_CO-REPORT_1601362811034271758
workcenter,workcenter,P_YS_CO_CO-REPORT_1601362811034271761
costId,costId,P_YS_CO_CO-REPORT_1617787616397099012
maProduct,-,P_YS_CO_CO-REPORT_1617787616397099015
searchView,searchView,P_YS_CO_CO-REPORT_1617787616397099018
cModel,-,P_YS_CO_CO-REPORT_1635518641533353999
cModelDescription,-,P_YS_CO_CO-REPORT_1635518641533354002
wjl,-,P_YS_CO_CO-REPORT_1691710480379282018
hmq,-,P_YS_CO_CO-REPORT_1691710480379282021
orgAmountScale,-,P_YS_CO_CO-REPORT_1705229053123887231
accAmountScale,accAmountScale,P_YS_CO_CO-REPORT_1705229053123887234
ctlAmountScale,ctlAmountScale,P_YS_CO_CO-REPORT_1705229053123887237
grpAmountScale,-,P_YS_CO_CO-REPORT_1705229053123887240
gblAmountScale,-,P_YS_CO_CO-REPORT_1705229053123887243
costSystem,-,P_YS_CO_CO-REPORT_1718661683610124591
custdocdefid,custdocdefid,P_YS_CO_CO-REPORT_1732091951858057335
subjectCondition,subjectCondition,P_YS_CO_CO-REPORT_1732091951858057470
vrs,vrs,P_YS_CO_CO-REPORT_1732091951858057674
local,-,P_YS_CO_CO-REPORT_1732091951858057707
auxOrderField,auxOrderField,P_YS_CO_CO-REPORT_1732091951858057842
referenceQuery,-,P_YS_CO_CO-REPORT_1732091951858057857
control,control,P_YS_CO_CO-REPORT_1732091951858057920
accsubjectCodeFilter,accsubjectCodeFilter,P_YS_CO_CO-REPORT_1732091951858057998
global,-,P_YS_CO_CO-REPORT_1732091951858058049
voucherid,voucherid,P_YS_CO_CO-REPORT_1732091951858058130
acountbooktype,acountbooktype,P_YS_CO_CO-REPORT_1732091951858058220
wherePart,wherePart,P_YS_CO_CO-REPORT_1732091960447991847
xxxxx,xxxxx,P_YS_CO_CO-REPORT_1774249890560868618
ori,ori,P_YS_CO_CO-REPORT_1774249890560868693
"参数错误，subjectOIds,startDate,endDate 不能为空","Parameter error, subjectOIds,startDate,endDate can not be empty",P_YS_CO_FIECC-BE_1798672912841441289
1、费用归集异常：事项分录传成本失败记录，一般为成本中心未获取到，点击执行则重新生成成本费用明细数据。当前版本，暂不支持；<br/>2、材料归集异常：存货会计事务已生成，且满足成本中心接收条件，对应成本会计事务生成失败的记录，点击执行则重新生成对应成本会计事务；<br/>3、作业消耗异常：启用标准成本后，作业标准价未取到的记录，点击执行则重新获取作业标准价。,"1. Expense collection exception: For the record of failing to transfer the event entry to the cost module, usually the cost center is not obtained. Clicking ""Execute"" will regenerate cost expense details data. Currently the current version does not support regenerating details data;<br/>2. Material collection exception: An inventory accounting transaction has been generated and meets the receiving conditions of the cost center; for the generation failure record of the corresponding cost accounting transaction, clicking ""Execute"" will regenerate the corresponding cost accounting transaction;<br/>3. Operation consumption exception: After standard cost is enabled, for the retrieval failure record of the operation standard price, clicking ""Execute"" will retrieve the operation standard price again.",P_YS_CO_FIECC-UI_1732092613282496521
<div>从「物料清单」取出母件对应的子件材料定额数量</div> ,<div>Retrieve the quota quantity of component material corresponding to the parent part from the 'BOM'</div>,P_YS_CO_FIECC-UI_1800126029126696963
取消核实失败:{0},Failed to cancel the verification: {0},P_YS_CRM_CRM-BE_0001296584
调用企业核实报错{0},Error in calling enterprise verification: {0},P_YS_CRM_CRM-BE_0001296719
核实失败:{0},Failed to verify: {0},P_YS_CRM_CRM-BE_0001296816
格式须为YYYY-MM-DD,The format must be YYYY-MM-DD,P_YS_CRM_CRM-BE_1439409464091344897
"=实际签约金额/签约目标金额*100%,保留两位小数","= Actually Signed Amount/Target Signed Amount*100%, with two decimal places reserved",P_YS_CRM_CRM-BE_1614577042445041665
"=实际回款金额/回款目标金额*100%,保留两位小数","= Actual Collection Amount/Target Collection Amount*100%, with two decimal places reserved",P_YS_CRM_CRM-BE_1614577343092752389
"=赢单商机金额/商机规划金额*100%,保留两位小数","= Amount of Opportunities Won/Opportunity Planning Amount*100%, with two decimal places reserved",P_YS_CRM_CRM-BE_1614577480524890116
请设置一个默认{0},Please set a default {0}.,P_YS_CRM_CRM-FE_0001591992
"{0}组织【{1}】客户新增申请单【{2}】已存在,请联系客户负责人【{3}】",The new customer application form [{2}] of {0} organization [{1}] already exists. Please contact the customer manager [{3}],P_YS_CRM_CRM-FE_0001591997
{0}年{1}月{2}日,{0} year {1} month {2} day,P_YS_CRM_CRM-FE_0001592000
{0}年{1}月,Year {0} Month {1},P_YS_CRM_CRM-FE_0001592086
目前只支持 JPG/PNG 文件!,Only JPG/PNG supported,P_YS_CRM_CRM-FE_0001609364
"{0}客户【{1}】已存在,请联系管理人员！",{0}: customer {1} already exists. Please contact the administrator,P_YS_CRM_CRM-FE_1450653731425615875
当前{0}无重复,The current {0} is not duplicated,P_YS_CRM_CRM-FE_1477981182452826114
费用行【{0}】按预算规则【{1}】维度【{2}】计算预算已超额【{3}】!,"In expense line [{0}], the budget calculated by dimension [{2}] according to budget rule [{1}] has exceeded the quota of [{3}]",P_YS_CRM_CRM-FE_1484041029123833858
费用行【{0}】申请金额已超上级方案{1}余额！,The applied amount in expense line [{0}] has exceeded the balance of the parent scheme {1}.,P_YS_CRM_CRM-FE_1528468772133273606
请维护交易类型相关设置！ 您可以选择去 <a data-event='toInfluencefactor'>设置</a>,Please maintain the transaction type related settings. You can select to set at <a data-event='toInfluencefactor'></a>,P_YS_CRM_CRM-FE_1676871840820101125
投标进度%,Bidding Progress %,P_YS_CRM_CRM-FE_1684313447184465921
活动物料子表中第{0}物料和敏感特征不能和其他行重复！,Material No.{0} and sensitive characteristic in the activity material sub-table cannot be duplicated with those in other lines.,P_YS_CRM_CRM-FE_1689661540448862210
{0}小时,{0} hour(s),P_YS_CRM_CRM-FE_1721833448260763717
方案费用行{0}的承担金额不能小于下级占用,The bearing amount of scheme expense line {0} cannot be less than the sum of the amount used by the children,P_YS_CRM_CRM-FE_1721833448260763786
mrs,mrs,P_YS_CRM_CRM-REPORT_1737205857738817552
dni,dni,P_YS_CRM_CRM-REPORT_1737205857738817576
taskType,taskType,P_YS_CRM_CRM-REPORT_1752028734786371700
isEnabled,isEnabled,P_YS_CRM_CRM-REPORT_1753515368996405279
预计费率%,Predicted Rate (%),P_YS_CRM_CRM-UI_0001286335
承担比例%,Bearing Proportion (%),P_YS_CRM_CRM-UI_0001296966
完成率（%）,Completion rate (%),P_YS_CRM_CRM-UI_0001548228
矩阵-X-调整分数,Matrix - X - Adjust Score,P_YS_CRM_CRM-UI_1712067534436434471
矩阵-X-调整等级,Matrix - X - Adjust Grade,P_YS_CRM_CRM-UI_1712067534436434474
矩阵-Y-调整分数,Matrix - Y - Adjust Score,P_YS_CRM_CRM-UI_1712067534436434483
矩阵-Y-调整等级,Matrix - Y - Adjust Grade,P_YS_CRM_CRM-UI_1712067534436434486
businessOpportunity,businessOpportunity,P_YS_CRM_YONBIP-HY-KNOWLEDGEBASE-MD_1720695221781528601
number,number,P_YS_CRM_YYCRM-MD_0001598188
amount,-,P_YS_CRM_YYCRM-MD_0001598190
zero,-,P_YS_CRM_YYCRM-MD_0001598191
one,-,P_YS_CRM_YYCRM-MD_0001598192
two,-,P_YS_CRM_YYCRM-MD_0001598193
three,-,P_YS_CRM_YYCRM-MD_0001598194
four,-,P_YS_CRM_YYCRM-MD_0001598195
five,-,P_YS_CRM_YYCRM-MD_0001598196
six,-,P_YS_CRM_YYCRM-MD_0001598197
business,business,P_YS_CRM_YYCRM-MD_0001598277
activity,-,P_YS_CRM_YYCRM-MD_0001598317
price,price,P_YS_CRM_YYCRM-MD_0001598326
brand,-,P_YS_CRM_YYCRM-MD_0001598327
CUSTOMER,-,P_YS_CRM_YYCRM-MD_0001598491
common,common,P_YS_CRM_YYCRM-MD_0001598511
quantity,-,P_YS_CRM_YYCRM-MD_1437473017956401254
detail,detail,P_YS_CRM_YYCRM-MD_1547211682981347574
st,st,P_YS_CRM_YYCRM-MD_1609485985780334682
行业(ID),Industry (ID),P_YS_CRM_YYCRM-MD_1685248779383472135
矩阵-X-评测等级,Matrix-X-Assessment Grade,P_YS_CRM_YYCRM-MD_1731059845454888962
矩阵-Y-评测等级,Matrix-Y-Assessment Grade,P_YS_CRM_YYCRM-MD_1731059845454888968
矩阵-Y-评测得分,Matrix-Y-Assessment Score,P_YS_CRM_YYCRM-MD_1731059845454888974
矩阵-X-评测得分,Matrix-X-Assessment Score,P_YS_CRM_YYCRM-MD_1731059845454888977
"录入编码重复, 请检查: %s",The entered code is duplicate. Please check: %s.,P_YS_CTM_BAM-BE_1770398266970079258
单据[%s]，,"For document [%s],",P_YS_CTM_CAM-BE_1681497108279984345
IT/通信/电子/互联网,IT/Communication/Electronics/Internet,P_YS_CTM_CAM-UI_1591698490392051719
动拨比例（%）,Credit Line Use Proportion (%),P_YS_CTM_CAM-UI_1591698490392052661
单据[%s]已删除，请刷新后重试,Doc [%s] has been deleted. Please refresh and try again,P_YS_CTM_CM-BE_0001378796
飞天 ePass 3000 GM,Feitian ePass 3000 GM,P_YS_CTM_CM-FE_1733325689814777905
电子回单文件名称的后缀需为pdf、ofd、jpeg、 jpg、png、bmp中的一种,"The suffix of the electronic receipt file name must be one of pdf, ofd, jpeg, jpg, png, and bmp",P_YS_CTM_CM-UI_1760205536474693636
审批状态%s，不可审批！,The approval status is %s. Cannot approve,P_YS_CTM_CSPL-BE_1459052299426988443
审批状态%s，不可撤回！,The approval status is %s. Cannot withdraw,P_YS_CTM_CSPL-BE_1459052299426988707
单据[%s]被背书人资金业务对象银行账号为历史数据，请修改！,The endorsee funds business object bank account of Doc [%s] is historical data. Please modify,P_YS_CTM_CSPL-BE_1508474848960577545
结算状态%s，不可撤回！,"Settlement status %s, cannot be withdrawn!",P_YS_CTM_CSPL-BE_1508474848960577548
单据[%s]，票据状态不为已托收，不可更改结算状态,The bill status is not Collected in Doc [%s]. Cannot change the settlement status,P_YS_CTM_CSPL-BE_1508474848960577551
%s修改中，稍后重试,%s is being modified. Please try again later,P_YS_CTM_CSPL-BE_1508474848960577554
单据[%s]，未审核，不可更改结算状态,Doc [%s] has not been approved. Cannot change the settlement status,P_YS_CTM_CSPL-BE_1508474848960577557
单据[%s]，票据状态不为已贴现，不可更改结算状态,The bill status is not Discounted in Doc [%s]. Cannot change the settlement status,P_YS_CTM_CSPL-BE_1508474848960577560
单据[%s]，结算状态不为空，不可推送资金结算,The settlement status of Doc [%s] is required. Cannot push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577566
单据[%s]，结算状态不为结算中，请重新推送资金结算,The settlement status of Doc [%s] is not Settling. Please re-push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577569
单据[%s]，票据状态不为已贴现，不可推送资金结算,The bill status is not Discounted in Doc [%s]. Cannot push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577575
单据【%s】【%s】，不可撤回！,Doc [%s] [%s] cannot be withdrawn!,P_YS_CTM_CSPL-BE_1508474848960577581
单据[%s]，资金业务对象无银行账号信息！,There is no bank account Info for the funds business object in Doc [%s],P_YS_CTM_CSPL-BE_1508474848960577584
单据[%s]，票据状态不为已签发，不可推送资金结算,The bill status is not Issued in Doc [%s]. Cannot push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577587
单据[%s]，结算状态不为空，请重新推送资金结算,The settlement status of Doc [%s] is required. Please re-push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577590
单据[%s]，未审核，不可推送资金结算,Doc [%s] has not been approved. Cannot push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577599
单据[%s]质权人资金业务对象银行账号为历史数据，请修改！,The pledgee funds business object bank account of Doc [%s] is historical data. Please modify,P_YS_CTM_CSPL-BE_1508474848960577611
[%s]，未审核，不可推送资金结算,[%s] has not been approved. Cannot push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577620
单据[%s]推送新架构失败,Failed to push the new architecture in Doc [%s],P_YS_CTM_CSPL-BE_1508474848960577626
单据[%s]，票据状态不为已兑付，不可推送资金结算,The bill status is not Paid in Doc [%s]. Cannot push funds settlement,P_YS_CTM_CSPL-BE_1508474848960577638
单据[%s]，票据状态不为已签发，不可更改结算状态,The bill status is not Issued in Doc [%s]. Cannot change the settlement status,P_YS_CTM_CSPL-BE_1508474848960577644
单据[%s]，结算状态不为结算中，请检查,The settlement status of Doc [%s] is not Settling. Please check,P_YS_CTM_CSPL-BE_1508479642144079881
最高使用比例(%),Max Usage Ratio (%),P_YS_CTM_CSPL-UI_1460964324382081213
自动化取数检查比例（%）,Auto Retrieval Check Ratio (%),P_YS_CTM_CSPL-UI_1460964324382081339
bb,-,P_YS_CTM_CTM-CMP-MD_0001615734
blue ,-,P_YS_CTM_CTM-CMP-MD_0001615833
old,-,P_YS_CTM_CTM-CMP-MD_1422495891453902914
like,like,P_YS_CTM_CTM-CMP-MD_1436420527623766025
receiptProject,receiptProject,P_YS_CTM_CTM-REPORT_1591555682727886893
paymentProject,paymentProject,P_YS_CTM_CTM-REPORT_1591555682727886896
offsetLimitStart,offsetLimitStart,P_YS_CTM_CTM-REPORT_1591555682727886902
receiptUnit,receiptUnit,P_YS_CTM_CTM-REPORT_1591555682727886905
paymentUnit,paymentUnit,P_YS_CTM_CTM-REPORT_1591555682727886908
capitalPlanCycle,capitalPlanCycle,P_YS_CTM_CTM-REPORT_1591555682727886911
period,period,P_YS_CTM_CTM-REPORT_1591555682727886914
offsetLimitEnd,offsetLimitEnd,P_YS_CTM_CTM-REPORT_1591555682727886917
aa.baseorg.OrgMVID,aa.baseorg.OrgMVID,P_YS_CTM_CTM-REPORT_1591555682727886920
opponent,opponent,P_YS_CTM_CTM-REPORT_1778039872759005215
receiptType,receiptType,P_YS_CTM_CTM-REPORT_1778039872759005224
noteno,noteno,P_YS_CTM_CTM-REPORT_1778039872759005248
sorttype,sorttype,P_YS_CTM_CTM-REPORT_1778039872759005272
billdirection,billdirection,P_YS_CTM_CTM-REPORT_1778039872759005275
projectCode,projectCode,P_YS_CTM_CTM-REPORT_1778039872759005281
notetype,notetype,P_YS_CTM_CTM-REPORT_1778039872759005305
srcvbillno,srcvbillno,P_YS_CTM_CTM-REPORT_1778039872759005347
showacceptancer,showacceptancer,P_YS_CTM_CTM-REPORT_1778039872759005356
币种(value),Currency (value),P_YS_CTM_CTMFA-UI_1588682555758477401
银行账号id(value),-,P_YS_CTM_CTMTHRE-UI_1686685007844738636
单据[%s]未审核，不可进行弃审！,Doc [%s] has not been approved. Approval cannot be revoked,P_YS_CTM_DRFT-BE_0001209718
单据[%s]%s,Doc [%s]%s,P_YS_CTM_DRFT-BE_0001209747
单据[%s]删除凭证失败：%s,Failed to delete the voucher of Doc [%s]: %s,P_YS_CTM_DRFT-BE_0001209766
单据[%s]未审核，不能进行弃审！,Doc [%s] has not been approved. Approval cannot be revoked,P_YS_CTM_DRFT-BE_0001209768
单据[%s]，单据未审核，不可弃审！,Doc [%s] has not been approved. Approval cannot be revoked,P_YS_CTM_DRFT-BE_0001209771
单据[%s]审核日期小于单据日期，不可审核！,The approval date of Doc [%s] is earlier than the Doc date. Cannot approve,P_YS_CTM_DRFT-BE_0001209837
单据[%s]已审核，不可重复审核！,Doc [%s] has been approved. Cannot approve again,P_YS_CTM_DRFT-BE_0001209839
单据[%s]，查询到银企联客户账号信息为空！,Cannot find the bank-enterprise link customer account Info in Doc [%s],P_YS_CTM_DRFT-BE_0001209872
单据[%s]审核日期小于单据日期，不能审核！,The approval date of Doc [%s] is earlier than the Doc date. Cannot approve,P_YS_CTM_DRFT-BE_0001209886
"单据[%s],审核日期小于单据日期，不能审核！",The approval date of Doc [%s] is earlier than the Doc date. Cannot approve,P_YS_CTM_DRFT-BE_0001209916
单据[%s],Doc [%s],P_YS_CTM_DRFT-BE_0001209918
单据[%s]，单据已审核，不能重复审核！,Doc [%s] has been approved. Cannot approve again,P_YS_CTM_DRFT-BE_0001209919
单据[%s]已审核，不能进行重复审核！,Doc [%s] has been approved. Cannot approve again,P_YS_CTM_DRFT-BE_0001209929
单据[%s]已删除,Doc [%s] has been deleted,P_YS_CTM_DRFT-BE_0001209934
单据[%s]，查询到银企联账户信息为空！,Cannot find the bank-enterprise link account Info in Doc [%s],P_YS_CTM_DRFT-BE_0001209938
单据删除凭证失败：%s,Failed to delete the voucher upon revoking approval of the Doc: %s,P_YS_CTM_DRFT-BE_0001212763
单据编码[%s]更新状态失败，%s！,"Failed to update the status of Doc [%s], %s",P_YS_CTM_DRFT-BE_0001228307
策略编码[%s]已启用，不可重复启用！,Policy [%s] has been enabled. Cannot enable again,P_YS_CTM_DRFT-BE_0001228308
收款方银行账号[%s]未启用，不能停用！,Payee bank account [%s] is not enabled. Cannot disable,P_YS_CTM_DRFT-BE_0001228309
单据编码[%s]的执行状态为成功，不需要更新状态！,The execution status of Doc [%s] is successful. No need to update the status,P_YS_CTM_DRFT-BE_0001228311
调拨编码[%s]未审核，不能进行弃审！,Transfer [%s] has not been approved. Approval cannot be revoked,P_YS_CTM_DRFT-BE_0001228312
共：%s张单据；%s张审核通过；%s张审核未通过！,"%s Docs in total, of which, %s approved and %s failed",P_YS_CTM_DRFT-BE_0001228313
单据[%s]暂未结算，请稍后重试,Doc [%s] has not been settled. Please try again later,P_YS_CTM_DRFT-BE_0001228315
"单据[%s],未查询到银企联账户银行类别！",Failed to find the bank category of the bank-enterprise link account in Doc [%s],P_YS_CTM_DRFT-BE_0001228318
单据[%s]暂未结算，请稍后重试!,Doc [%s] has not been settled. Please try again later,P_YS_CTM_DRFT-BE_0001228321
调拨编码[%s]弃审失败，%s,"Failed to revoke approval of transfer [%s], %s",P_YS_CTM_DRFT-BE_0001228324
收款方银行账号[%s]已启用，不可重复启用！,Payee bank account [%s] has been enabled. Cannot enable again,P_YS_CTM_DRFT-BE_0001228326
单据生成归集付款结算单失败，%s！,"Failed to generate the collection payment settlement Doc from the Doc, %s",P_YS_CTM_DRFT-BE_0001228328
单据弃审失败，%s,"Failed to revoke approval of the Doc, %s",P_YS_CTM_DRFT-BE_0001228330
单据[%s]，单据已核准，不可弃审！,Doc [%s] has been approved. Approval cannot be revoked,P_YS_CTM_DRFT-BE_0001228332
策略编码[%s]已停用，不可重复停用！,Policy [%s] has been disabled. Cannot disable again,P_YS_CTM_DRFT-BE_0001228334
策略编码[%s]未审核，不可启用！,Policy [%s] has not been approved. Cannot enable,P_YS_CTM_DRFT-BE_0001228338
共：%s个策略；%s个启用通过；%s个启用未通过！,"%s policies in total, of which, %s enabled and %s not enabled",P_YS_CTM_DRFT-BE_0001228339
生成下拨付款单失败，%s！,"Failed to generate the allocation payment Doc, %s",P_YS_CTM_DRFT-BE_0001228342
单据[%s]没用创建执行任务，无法启用！,No execution task created for Doc [%s]. Cannot enable,P_YS_CTM_DRFT-BE_0001228347
单据[%s]，单据已启用，不能重复启用！,Doc [%s] has been enabled. Cannot enable again,P_YS_CTM_DRFT-BE_0001228348
单据[%s]没用创建执行任务，无法停用！,No execution task created for Doc [%s]. Cannot disable,P_YS_CTM_DRFT-BE_0001228349
共：%s个策略；%s个审核通过；%s个审核未通过！,"%s policies in total, of which, %s approved and %s failed",P_YS_CTM_DRFT-BE_0001228351
单据[%s]已执行成功，不需要更新状态,Doc [%s] has been executed successfully. No need to update the status,P_YS_CTM_DRFT-BE_0001228354
单据[%s]，单据未审核，不可拒绝！,Doc [%s] has not been approved. Cannot reject,P_YS_CTM_DRFT-BE_0001228355
单据[%s]，单据未审核，不能启用！,Doc [%s] has not been approved. Cannot enable,P_YS_CTM_DRFT-BE_0001228360
单据[%s]，保存付款单失败，请稍后重试,Failed to save payment Doc [%s]. Please try again later,P_YS_CTM_DRFT-BE_0001228362
调拨编码[%s]审核失败，%s,"Failed to approve transfer [%s], %s",P_YS_CTM_DRFT-BE_0001228364
策略编码[%s]没用创建执行任务，无法启用！,No execution task created for policy [%s]. Cannot enable,P_YS_CTM_DRFT-BE_0001228367
单据[%s]推送归集付款结算单失败！,Failed to push the collection payment settlement Doc from Doc [%s],P_YS_CTM_DRFT-BE_0001228369
单据[%s]，单据未审核，不可核审！,Doc [%s] has not been approved. Cannot approve,P_YS_CTM_DRFT-BE_0001228374
策略编码[%s],Policy [%s],P_YS_CTM_DRFT-BE_0001228375
策略编码[%s]审核日期小于单据日期，不能审核！,The approval date of policy [%s] is earlier than the Doc date. Cannot approve,P_YS_CTM_DRFT-BE_0001228380
单据[%s]更新状态失败，%s！,"Failed to update the status of Doc [%s], %s",P_YS_CTM_DRFT-BE_0001228381
单据[%s]状态更新失败，%s,"Failed to update the status of Doc [%s], %s",P_YS_CTM_DRFT-BE_0001228382
共：%s个策略；%s个弃审通过；%s个弃审未通过！,"%s policies in total, of which, %s with approval revoked successfully and %s failed",P_YS_CTM_DRFT-BE_0001228384
策略编码[%s]已审核不能删除！,Policy [%s] has been approved. Cannot delete,P_YS_CTM_DRFT-BE_0001228389
策略编码[%s]未审核，不可进行弃审！,Policy [%s] has not been approved. Approval cannot be revoked,P_YS_CTM_DRFT-BE_0001228390
共：%s个单据；%s个启用成功；%s个启用失败！,"%s Docs in total, of which, %s enabled successfully and %s failed",P_YS_CTM_DRFT-BE_0001228392
单据[%s]，保存付款单失败，原因：%s,Failed to save payment Doc [%s]. Reason: %s,P_YS_CTM_DRFT-BE_0001228393
单据更新状态失败，%s！,"Failed to update the Doc status, %s",P_YS_CTM_DRFT-BE_0001228395
单据审核失败，%s,"Failed to approve the Doc, %s",P_YS_CTM_DRFT-BE_0001228400
策略[%s]未启用！,Policy [%s] not enabled,P_YS_CTM_DRFT-BE_0001228403
单据状态更新失败，%s,"Failed to update the Doc status, %s",P_YS_CTM_DRFT-BE_0001228404
单据[%s]，单据未启用，不能停用！,Doc [%s] is not enabled. Cannot disable,P_YS_CTM_DRFT-BE_0001228406
系统时间错误！ %d 毫秒内拒绝生成雪花ID！,System time error. Refuse to generate snowflake ID within %d ms,P_YS_CTM_DRFT-BE_0001228407
共：%s张单据；%s张更新状态成功；%s张更新状态失败！,"%s Docs in total, of which, %s with the statuses updated successfully and %s failed",P_YS_CTM_DRFT-BE_0001228408
单据[%s]推送归集收款结算单失败！,Failed to push the collection settlement Doc from Doc [%s],P_YS_CTM_DRFT-BE_0001228412
单据[%s]，申请状态不为”申请中”，不可拒绝！,The application status of Doc [%s] is not Applying. Cannot reject,P_YS_CTM_DRFT-BE_0001228413
共：%s个策略；%s个停用通过；%s个停用未通过！,"%s policies in total, of which, %s disabled and %s not disabled",P_YS_CTM_DRFT-BE_0001228416
付款方银行账号【%s】已停用，不可重复停用！,Payer bank account [%s] has been disabled. Cannot disable again,P_YS_CTM_DRFT-BE_0001228419
单据[%s]，申请状态不为”申请中”，不可核审！,The application status of Doc [%s] is not Applying. Cannot approve,P_YS_CTM_DRFT-BE_0001228423
单据[%s]生成归集付款结算单失败，%s！,"Failed to generate the collection payment settlement Doc from Doc [%s], %s",P_YS_CTM_DRFT-BE_0001228424
实时查询账户余额失败，请稍后重试:%s,Failed to query the account balance in real time. Please try again later: %s,P_YS_CTM_DRFT-BE_0001228428
付款方银行账号【%s】已启用，不可重复启用！,Payer bank account [%s] has been enabled. Cannot enable again,P_YS_CTM_DRFT-BE_0001228431
调拨编码[%s]已审核，不可重复审核！,Transfer [%s] has been approved. Cannot approve again,P_YS_CTM_DRFT-BE_0001228434
策略编码[%s]没用创建执行任务，无法停用！,No execution task created for policy [%s]. Cannot disable,P_YS_CTM_DRFT-BE_0001228442
共：%s个单据；%s个停用成功；%s个停用失败！,"%s Docs in total, of which, %s disabled successfully and %s failed",P_YS_CTM_DRFT-BE_0001228444
策略编码[%s]已审核，不可重复审核！,Policy [%s] has been approved. Cannot approve again,P_YS_CTM_DRFT-BE_0001228451
调拨编码[%s]已审核的单据不能删除！,The Doc with transfer [%s] approved cannot be deleted,P_YS_CTM_DRFT-BE_0001228460
"单据[%s],未查询到下拨策略信息！",Failed to find the allocation policy Info in Doc [%s],P_YS_CTM_DRFT-BE_0001228461
单据[%s]已执行成功，不需要更新状态！,Doc [%s] has been executed successfully. No need to update the status,P_YS_CTM_DRFT-BE_0001228463
共：%s张单据；%s张弃审成功；%s张弃审失败！,"%s Docs in total, of which, %s with approval revoked successfully and %s failed",P_YS_CTM_DRFT-BE_0001228464
"单据[%s],%s","Doc [%s], %s",P_YS_CTM_DRFT-BE_0001559753
状态%s，不可撤销！,Status %s. Cannot cancel,P_YS_CTM_DRFT-BE_0001560094
"校验失败, 结果[%s]","Verification failed, result [%s]",P_YS_CTM_DRFT-BE_1487790861990756841
"根据签约账号:[%s], 查询不到客户号",No customer No. found according to signed account [%s],P_YS_CTM_DRFT-BE_1487790861990756853
"第%d行,查找不到编制子表信息!",Failed to find preparation sub-table information in line %d.,P_YS_CTM_DRFT-BE_1587259736172527620
"【%s】编制单的下期计划明细计划日期应在计划期间内,请修改后再保存!",The plan date in the next period plan details of [%s] preparation document should be within the plan period. Please modify it before saving.,P_YS_CTM_DRFT-BE_1587259736172527668
调用资金调度服务失败:%s,Failed to call the funds transfer service: %s,P_YS_CTM_DRFT-BE_1587259736172527671
"【%s】编制单的本期计划明细计划日期应在计划期间内,请修改后再保存!",The plan date in the current period plan details of [%s] preparation document should be within the plan period. Please modify it before saving.,P_YS_CTM_DRFT-BE_1587259736172527707
"【%s】编制单的【%s】下期计划额度要大于等于该计划项目对应的计划明细金额总和,请修改后再保存!","In [%s] preparation document, the next period plan quota of [%s] should be greater than or equal to the sum of the amount in the plan details corresponding to this plan item. Please modify it before saving.",P_YS_CTM_DRFT-BE_1587259736172527728
"【%s】编制单的【%s】下下期计划额度要大于等于该计划项目对应的计划明细金额总和,请修改后再保存!","In [%s] preparation document, the period-after-next plan quota of [%s] should be greater than or equal to the sum of the amount in the plan details corresponding to the plan item. Please modify it before saving",P_YS_CTM_DRFT-BE_1587259736172527731
第%d行，调整后计划总额度小于累计下拨预付金额，汇总失败！,"In line %d, the adjusted total plan quota is less than the cumulative allocated prepayment amount. Summary failed",P_YS_CTM_DRFT-BE_1587259736172527737
